subjectRef,role,accessProfileRef,scenarioTag,legacyPermissionCount,lockoutRiskCount,megaKeyBleedCount,preserved_intentional,new_legitimate_access,removed_by_deny,mega_key_bleed,permissive_fallback,unmapped_resource,conflict,lockout_risk
53817c43f05f,VIEWER,,leticia-ap-only,1,0,3,1,0,0,3,0,0,0,0
067c0e01603b,SUPER_ADMIN,,,0,0,0,144,0,0,0,0,0,0,0
40ce03babcd4,VIEWER,,legacy-mega-key,2,1,8,1,0,0,8,0,0,0,1
0577ba931697,VIEWER,,deny-wins,0,0,0,0,0,0,0,0,0,0,0
c62cd0b9518c,VIEWER,,alias-1to1,1,0,3,1,0,0,3,0,0,0,0
ff495def7ed8,SUPER_ADMIN,,persona:SUPER_ADMIN,0,0,0,144,0,0,0,0,0,0,0
481d695e6e30,ADMIN,,persona:ADMIN,8,0,19,0,43,0,19,0,0,0,0
75e01089bef3,COMMERCIAL_MANAGER,,persona:gestor_comercial,5,0,5,0,15,0,5,0,0,0,0
a6e69698b248,SELLER,,persona:vendedor,4,0,5,0,12,0,5,0,0,0,0
0b7079902e58,VIEWER,,persona:financeiro_somente_leitura,4,0,7,2,3,0,7,0,0,0,0
c51d3c86ada1,VIEWER,,persona:financeiro_operacional,6,1,6,4,3,0,6,0,0,0,1
9f3b0425acd9,VIEWER,,persona:engenharia,5,0,5,0,5,0,5,0,0,0,0
1db85bf88376,VIEWER,,persona:RH,3,0,1,0,4,0,1,0,0,0,0
d63c9b96d240,VIEWER,,persona:viewer,0,0,0,0,2,0,0,0,0,0,0
d678f791cff8,VIEWER,,persona:usuario_com_deny,2,0,5,0,2,0,5,0,0,0,0
8bcb05136c1d,VIEWER,,persona:legado_sem_grants_estruturados,5,0,8,1,4,0,8,0,0,0,0
